#{"t_start": 1672151397.2357304, "env_id": null}
r,l,t
22,20,63.47506
-20,24,63.496695
3,7,63.504032
62,27,63.527679
-3,2,63.531525
6,15,63.544761
4,6,63.55147
91,29,63.580748
162,36,63.614892
-2,2,63.616465
0,2,63.620424
-58,6,63.625686
-9,20,63.645394
41,40,63.68338
-39,4,63.688659
-3,1,63.689449
-29,7,63.694371
2,4,63.699646
-2,3,63.701833
2,5,63.707937
39,13,63.719965
2,4,63.723253
-3,1,63.724237
-10,25,63.749485
13,14,63.761826
4,6,63.768543
8,22,63.791642
-2,4,63.796627
-2,10,63.810773
-1,4,63.818364
-4,2,63.820107
0,3,63.823719
26,33,63.872898
0,6,63.879083
-39,1,63.880188
36,47,63.950311
-3,4,63.955134
-19,16,63.979049
1,3,63.982631
-30,6,63.993282
-12,47,64.060732
10,29,64.102178
-3,5,64.107095
16,11,65.37639
14,20,65.39778
-2,4,65.404236
1,17,65.420147
-5,2,65.421649
-47,11,65.43456
-2,3,65.436823
-29,5,65.440402
4,12,65.454808
19,17,65.469513
7,18,65.487592
0,11,65.498687
-3,3,65.500895
-19,10,65.510613
90,33,65.545868
5,7,65.550965
-5,4,65.556448
-35,3,65.558605
-7,4,65.564016
-19,18,65.58061
12,14,65.596553
30,24,65.618502
-5,1,65.619315
-1,5,65.625314
-24,19,65.643564
20,21,65.66464
-34,1,65.665419
1,12,65.676428
-61,1,65.677201
14,21,65.705296
-33,13,65.728037
98,27,65.76481
0,3,65.771738
-2,2,65.775131
-2,2,65.777465
30,16,65.801061
-5,1,65.802642
20,14,65.822414
-59,4,65.826664
7,15,65.847908
-2,7,65.859334
19,20,65.886695
2,8,65.894977
-54,3,65.901555
11,14,65.920481
-3,12,65.936223
5,9,65.948913
2,4,65.956486
14,10,65.9698
-1,3,65.972459
1,9,65.985333
-3,1,65.98615
47,9,65.996647
15,19,66.01585
5,13,66.028273
3,9,66.037122
-6,6,66.043892
20,23,66.065108
-22,8,66.07337
-7,2,66.074877
0,8,66.083194
7,15,66.096309
-3,5,66.102271
-3,1,66.103046
6,6,66.107293
1,5,66.113375
6,20,66.132285
-5,4,66.135159
-33,7,66.142527
1,5,66.146084
-34,1,66.149231
-34,5,66.152819
-29,7,66.160342
-3,3,66.16252
-512,17,66.179404
-5,3,66.181577
-33,8,66.190296
9,15,66.203308
0,6,66.21051
-6,1,66.211337
-34,9,66.220684
-6,1,66.221648
-1,3,66.224243
9,8,66.233485
16,19,66.252151
46,38,66.296335
-2,2,66.298295
0,7,66.308045
-4,4,66.311454
44,33,66.343849
-5,2,66.347721
-5,4,66.350635
-6,1,66.351386
-35,3,66.353593
0,4,66.358895
45,8,66.366967
7,8,66.372648
20,17,66.389673
-2,2,66.39119
-39,1,66.392
-23,16,66.40819
-7,2,66.409693
-2,2,66.411207
-24,15,66.426852
-39,9,66.435715
-5,3,66.438827
12,7,66.449639
-5,1,66.450516
-439,41,66.510056
2,9,66.522318
5,7,66.53314
74,29,66.573747
40,11,66.588327
-6,29,66.628887
-34,5,66.633575
7,13,66.651264
33,33,66.699466
-26,7,66.705596
26,35,66.746894
7,5,66.750578
8,10,66.760499
9,12,66.774034
-6,1,66.774869
-2,2,66.776407
-10,11,66.786663
78,32,66.816888
-30,6,66.823807
-36,4,66.826675
-6,1,66.827428
-5,1,66.828219
-2,2,66.832232
1,5,66.835854
-29,5,66.841912
-47,10,66.851458
3,7,66.856423
-6,4,66.861709
-1,5,66.865272
-8,2,66.866716
-1,8,66.874783
22,31,66.903916
64,41,66.945468
-3,3,66.950713
-25,17,66.966644
4,7,66.974851
4,13,66.98659
-7,25,67.012739
3,4,67.015701
3,6,67.022707
32,26,67.046358
-8,3,67.051856
-1,4,67.054701
65,10,67.064507
22,26,67.090461
-2,5,67.094249
1,8,67.10242
-36,4,67.105332
31,28,67.132425
25,25,67.157387
9,15,67.1704
-34,1,67.171194
0,3,67.175813
4,7,67.18082
-30,3,67.185447
-27,6,67.18968
33,12,67.200562
10,11,67.213128
-3,1,67.213921
-5,1,67.214678
12,22,67.235015
10,6,67.241919
11,25,67.264434
8,8,67.272516
22,30,67.300815
-30,4,67.304497
7,12,67.319354
-4,2,67.323558
23,3,67.325774
-3,1,67.326526
-5,10,67.336161
-3,3,67.3383
5,9,67.347258
24,32,67.377321
9,21,67.402108
-3,4,67.40644
-34,1,67.407468
-4,7,67.418194
19,19,67.448301
